რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
შიდა ქართლი,ხაშური,სოფ. ქვიშხეთის საჯარო სკოლა,რეაბილიტაცია,"30,517.58"
შიდა ქართლი,ხაშური,სოფ. ქვიშხეთის საჯარო სკოლა,რეაბილიტაცია,"119,025.12"
შიდა ქართლი,ხაშური,სოფ. ნაბახტევის საჯარო სკოლა,რეაბილიტაცია,"23,500.00"
შიდა ქართლი,ხაშური,სოფ. ნაბახტევის საჯარო სკოლა,რეაბილიტაცია,"31,773.22"
შიდა ქართლი,ხაშური,სოფ. ტეზრის საჯარო სკოლა,რეაბილიტაცია,"25,271.62"
შიდა ქართლი,ხაშური,სოფ. ტეზრის საჯარო სკოლა,რეაბილიტაცია,"71,006.42"
შიდა ქართლი,ხაშური,სოფ. ბროლოსნის საჯარო სკოლა,რეაბილიტაცია,"77,398.72"
შიდა ქართლი,ხაშური,სოფ. ბროლოსნის საჯარო სკოლა,რეაბილიტაცია,"8,850.70"
შიდა ქართლი,ხაშური,სოფ. ალის საჯარო სკოლა,რეაბილიტაცია,"195,069.83"
შიდა ქართლი,ხაშური,სოფ.  გომის საჯარო სკოლა,რეაბილიტაცია,"252,188.78"
შიდა ქართლი,ხაშური,სოფ.  გომის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"8,850.70"
შიდა ქართლი,ხაშური,სოფ. ვაყის საჯარო სკოლა,რეაბილიტაცია,"251,933.45"
შიდა ქართლი,ხაშური,სოფ. ვაყის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"11,856.76"
შიდა ქართლი,ხაშური,სოფ.  ტკოცის საჯარო სკოლა,რეაბილიტაცია,"24,709.09"
შიდა ქართლი,ხაშური,სოფ.  ქინძათის საჯარო სკოლა,რეაბილიტაცია,"7,949.39"
შიდა ქართლი,ხაშური,სოფ. წაღვლის საჯარო სკოლა,რეაბილიტაცია,"106,452.81"
შიდა ქართლი,ხაშური, დაბ.სურამის №1 საჯარო სკოლა,რეაბილიტაცია,"108,268.67"
შიდა ქართლი,ხაშური, დაბ.სურამის №1 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"4,479.56"
შიდა ქართლი,ხაშური,დაბ. სურამის №2 საჯარო სკოლა,რეაბილიტაცია,"79,861.44"
შიდა ქართლი,ხაშური,დაბ. სურამის №2 საჯარო სკოლა,გაზმომარაგების სამუშაოები,"3,475.98"
შიდა ქართლი,ხაშური,დაბ.  სურამის №3 საჯარო სკოლა,რეაბილიტაცია,"72,066.35"
შიდა ქართლი,ხაშური,სოფ. ბეკამის საჯარო სკოლა,რეაბილიტაცია,"67,272.32"
შიდა ქართლი,ხაშური,სოფ. იტრიის საჯარო სკოლა,რეაბილიტაცია,"240,129.82"
შიდა ქართლი,ხაშური,სოფ. იტრიის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"13,273.00"
შიდა ქართლი,ხაშური,სოფ.  ქემფერის საჯარო სკოლა,რეაბილიტაცია,"73,474.67"
შიდა ქართლი,ხაშური,სოფ. ცხრამუხის საჯარო სკოლა,რეაბილიტაცია,"160,094.12"
შიდა ქართლი,ხაშური,სოფ. ცხრამუხის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"6,410.80"
შიდა ქართლი,ხაშური, №4 საჯარო სკოლა,რეაბილიტაცია,"36,432.61"
შიდა ქართლი,ხაშური,№5საჯარო სკოლა,რეაბილიტაცია,"294,478.53"
შიდა ქართლი,ხაშური,№5საჯარო სკოლა,გაზმომარაგების სამუშაოები,"15,035.73"
შიდა ქართლი,ხაშური,სოფ. ოსიაურის საჯარო სკოლა,რეაბილიტაცია,"235,477.39"
შიდა ქართლი,ხაშური,სოფ. ოსიაურის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"9,374.49"
შიდა ქართლი,ხაშური,სოფ.  სატივის საჯარო სკოლა,რეაბილიტაცია,"30,284.66"
შიდა ქართლი,ხაშური,სოფ. წრომის საჯარო სკოლა,რეაბილიტაცია,"43,462.16"
შიდა ქართლი,ხაშური,სოფ.  ხცისის საჯარო სკოლა,რეაბილიტაცია,"124,520.00"
შიდა ქართლი,გორი,#6 საჯარო სკოლა,რეაბილიტაცია,"39,414.27"
შიდა ქართლი,გორი,#9 საჯარო სკოლა,რეაბილიტაცია,"39,500.79"
შიდა ქართლი,გორი,#11 საჯარო სკოლა,რეაბილიტაცია,"18,960.58"
შიდა ქართლი,გორი,#2 საჯარო სკოლა,რეაბილიტაცია,"21,445.32"
შიდა ქართლი,გორი,#3 საჯარო სკოლა,მომავლის კლასი,"25,278.64"
შიდა ქართლი,გორი,სოფ. სათემოს საჯარო სკოლა,რეაბილიტაცია,"17,721.39"
შიდა ქართლი,გორი,სოფ. ტინისხიდის საჯარო სკოლა,რეაბილიტაცია,"28,157.74"
შიდა ქართლი,გორი,სოფ. ზემო ნიქოზის საჯარო სკოლა,რეაბილიტაცია,"24,300.00"
შიდა ქართლი,გორი,სოფ. მეღვრეკისის საჯარო სკოლა,რეაბილიტაცია,"23,046.80"
შიდა ქართლი,გორი,სოფ. სვენეთის საჯარო სკოლა,რეაბილიტაცია,"36,960.05"
შიდა ქართლი,გორი,სოფ. ფლავის საჯარო სკოლა,რეაბილიტაცია,"18,224.27"
შიდა ქართლი,გორი,სოფ. ახრისის საჯარო სკოლა,რეაბილიტაცია,"16,630.44"
შიდა ქართლი,გორი,სოფ. ბერშუეთის საჯარო სკოლა,რეაბილიტაცია,"17,482.89"
შიდა ქართლი,გორი,სოფ. ზერტის საჯარო სკოლა,რეაბილიტაცია,"26,057.32"
შიდა ქართლი,გორი,სოფ. ოთარშენის საჯარო სკოლა ,შენობის შესყიდვა,"20,000.00"
შიდა ქართლი,გორი,სოფ. ოთარშენის საჯარო სკოლა ,რეაბილიტაცია,"17,499.00"
შიდა ქართლი,გორი,სოფ. ხურვალეთის საჯარო სკოლა,რეაბილიტაცია,"31,406.62"
შიდა ქართლი,გორი,სოფ. ტყვიავის საჯარო სკოლა,რეაბილიტაცია,"9,018.22"
